Actvitiy,x,y,z,Cluster,Activity_raw,Cluster_Name
10,0.0081807580709117,-0.0094253473169042,0.001078610707868,8,Music Playing,Cluster 8: Low-Actvitiy / Home Activities
10,0.042972761397813,-0.0424347906794626,-0.0121691489598612,6,Music Playing,Cluster 6: Low-Actvitiy / Home Activities
10,0.0430340834182687,-0.0336553616751763,-0.0108944186426977,6,Music Playing,Cluster 6: Low-Actvitiy / Home Activities
10,0.0216497350217226,0.0290225103030228,0.0004383463630125,7,Occupation,Cluster 7: High-Actvitiy / Occupation
10,0.0645418826781221,-0.0686214806302786,-0.0126915127985311,2,Occupation,Cluster 2: Low-Actvitiy / Occupation
10,0.0776102825480089,-0.0821891383831018,-0.0149483123012926,2,Occupation,Cluster 2: Low-Actvitiy / Occupation
10,0.0743493849334302,-0.0770157199539653,-0.015652993162092,2,Occupation,Cluster 2: Low-Actvitiy / Occupation
10,0.0111631293357698,-0.0114062803124523,-0.0071179610727388,8,Occupation,Cluster 8: Low-Actvitiy / Home Activities
10,0.0153872189251806,-0.0124235533758761,-0.0062271245042404,8,Occupation,Cluster 8: Low-Actvitiy / Home Activities
10,0.0295742502924895,-0.0009938057933515,-0.0239226504777724,6,Occupation,Cluster 6: Low-Actvitiy / Home Activities
10,0.0543180090120797,-0.0059864538809485,-0.0433491387625912,6,Occupation,Cluster 6: Low-Actvitiy / Home Activities
10,0.1027002086781445,-0.0779686666848342,-0.0290060126037227,2,Occupation,Cluster 2: Low-Actvitiy / Occupation
10,0.0316931421679095,0.0235733710668386,-0.0126123439489005,7,Occupation,Cluster 7: High-Actvitiy / Occupation
10,0.043661006146075,0.0098775831021739,-0.0150714846888543,7,Occupation,Cluster 7: High-Actvitiy / Occupation
10,0.05274598603245,0.0164183513505247,-0.0229241056462501,7,Occupation,Cluster 7: High-Actvitiy / Occupation
10,0.0284970553490521,0.0202865860109101,-0.0109121261932004,7,Occupation,Cluster 7: High-Actvitiy / Occupation
10,0.0146821347633855,-0.0083473844076672,-0.0072562447678996,8,Occupation,Cluster 8: Low-Actvitiy / Home Activities
10,0.0311746007479632,-0.006368155019857,-0.0123190081635147,6,Occupation,Cluster 6: Low-Actvitiy / Home Activities
10,0.0489149907273081,-0.0416877137792823,-0.0138512518046164,6,Occupation,Cluster 6: Low-Actvitiy / Home Activities
10,0.0600858821123926,-0.0500365465105445,-0.0098433737453373,2,Occupation,Cluster 2: Low-Actvitiy / Occupation
10,0.0402821431869938,-0.0482708644478721,-0.0325795266510658,6,Occupation,Cluster 6: Low-Actvitiy / Home Activities
10,0.0296078309508741,-0.0354003179660758,-0.0272507159646111,6,Occupation,Cluster 6: Low-Actvitiy / Home Activities
10,0.0054780360960427,0.00036442216769,-0.001803948701463,8,Occupation,Cluster 8: Low-Actvitiy / Home Activities
10,0.018569619571992,-0.0163293188198768,0.0062818361256281,8,Occupation,Cluster 8: Low-Actvitiy / Home Activities
12,0.008136727779098,0.0102870838452881,0.0078949447984847,0,Occupation,Cluster 0: High-Actvitiy / Sports
12,0.0087815467888857,0.0106820587189962,0.0082245867006963,0,Occupation,Cluster 0: High-Actvitiy / Sports
15,0.0094693226818772,0.0027954565092505,-0.0023722872478949,0,Occupation,Cluster 0: High-Actvitiy / Sports
