Unnamed: 0,Actvitiy,Description,Cluster,x,y,z,SVD_1,SVD_2
144,Dancing,"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha",0,0.05077465542819545,0.005579190817843953,0.015299723718028324,0.05077465542819545,0.005579190817843953
145,Dancing,"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)",4,0.02523200140188711,0.003228221026629702,0.013977785549649785,0.02523200140188711,0.003228221026629702
146,Dancing,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort",2,0.1763196425266701,-0.07245720241049747,0.010427495156931843,0.1763196425266701,-0.07245720241049747
147,Dancing,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki  Mini, Gere, Gumbay, Ibo, Jonkonnu,",4,0.007137327657571502,-0.0029615083777661706,-0.00033228296928440983,0.007137327657571502,-0.0029615083777661706
148,Dancing,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki  Mini, Gere, Gumbay, Ibo, Jonkonnu,  Kumina,  Oreisha, Jambu)",4,0.006603564325634079,-0.00276011856823667,-0.0003378802762027344,0.006603564325634079,-0.00276011856823667
150,Dancing,"Contemporary dancing, nightclub",0,0.06750777715413918,0.045677923731864675,0.0017027886236165412,0.06750777715413918,0.045677923731864675
151,Dancing,Flamenco dance,4,0.021095015756110138,-0.00826364473951647,-0.0003250321870750325,0.021095015756110138,-0.00826364473951647
153,Dancing,"Musical Theater, Singing/dancing",0,0.05685109963438647,0.037988586159423535,0.0014375567291492774,0.05685109963438647,0.037988586159423535
154,Dancing,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan",4,0.027608869355473388,-0.013033053390662973,0.008657216634330625,0.027608869355473388,-0.013033053390662973
155,Dancing,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling",0,0.044381984930406855,-0.03046637649793289,0.027497006101145204,0.044381984930406855,-0.03046637649793289
156,Dancing,"Polynesian dance, Samoan slap, Tahitian",4,0.01865146154283316,-0.00886473873827202,0.0011550664070368627,0.01865146154283316,-0.00886473873827202
157,Dancing,"Salsa Dancing, with partner",0,0.054629257656690536,0.027906105836484812,0.0035943088058680668,0.054629257656690536,0.027906105836484812
158,Dancing,"Salsa dancing, to a video",0,0.09439657560073991,0.004693207419639333,-0.010653566530521791,0.09439657560073991,0.004693207419639333
159,Dancing,"Square Dancing, American Western, country",0,0.07051584434651786,0.010898554437865507,0.051169660642869694,0.07051584434651786,0.010898554437865507
161,Fishing & Hunting,"Fishing, crab fishing",4,0.07183819131205305,0.011077628094883512,-0.024293542838026424,0.07183819131205305,0.011077628094883512
162,Fishing & Hunting,"Fishing, catching fish with hands",4,0.06229598839299186,0.010013573585249418,-0.0015767589532115363,0.06229598839299186,0.010013573585249418
163,Fishing & Hunting,"Fishing related, digging worms, with shovel",4,0.04291320600148845,-0.004685974632801453,-0.014686424520295966,0.04291320600148845,-0.004685974632801453
177,Fishing & Hunting,Hunting large marine animals,4,0.023003214353469473,-0.00670601606941801,-0.018717162110961753,0.023003214353469473,-0.00670601606941801
181,Fishing & Hunting,"Hunting flying fox, squirrel",4,0.00215420518231367,0.00024470431172281807,-0.0012016657883615538,0.00215420518231367,0.00024470431172281807
186,Fishing & Hunting,"Hunting pigs, wild",4,0.001083504927483576,-0.0003673543932194741,-0.0014364890744365138,0.001083504927483576,-0.0003673543932194741
189,Fishing & Hunting,"Pistol shooting or trap shooting, standing",1,0.06331907440425576,-0.06549837117748268,-0.008122611554690925,0.06331907440425576,-0.06549837117748268
190,Fishing & Hunting,"Rifle exercises, shooting, lying down",4,0.019009155481661943,-0.007054754067004827,0.03251109040304099,0.019009155481661943,-0.007054754067004827
191,Fishing & Hunting,"Rifle exercises, shooting, kneeling or standing",1,0.08208644646128832,-0.07112611656871275,0.018164640286254155,0.08208644646128832,-0.07112611656871275
192,Fishing & Hunting,"Foraging, 0-9.9kg backpack",4,0.0008918675169082355,-0.000609836295827653,0.008675160983036787,0.0008918675169082355,-0.000609836295827653
193,Fishing & Hunting,"Foraging, 10-15kg backpack",0,0.011653099212602784,-0.006312288277663711,0.07448976319037018,0.011653099212602784,-0.006312288277663711
196,Fishing & Hunting,"Activities in a boat, lifting, lowering",4,0.02770773969364005,-0.029452248032452402,-0.005779653916352877,0.02770773969364005,-0.029452248032452402
213,Home Activities,"Wash dishes, clearing dishes from table, walking, light effort",2,0.16409687080625437,-0.10264935209786616,-0.08641388945135008,0.16409687080625437,-0.10264935209786616
